start_seconds,sensor,frames,mean_alignment_error_deg,p95_alignment_error_deg
152.5,Pelvis,2400,1.4018831468443869,2.351124913382243
152.5,LeftForeArm,2400,0.5251663325589491,0.9751587544749846
152.5,RightForeArm,2400,0.5502250842246131,1.1432173156788545
152.5,LeftLowerLeg,2400,2.235975786462707,4.158278976955247
152.5,RightLowerLeg,2400,2.3235807153908272,4.904260961666369
162.5,Pelvis,2400,1.3222480349716432,2.600819055061481
162.5,LeftForeArm,2400,0.6469135732782035,1.7035599215978199
162.5,RightForeArm,2400,0.6227668031143105,1.3023777439384197
162.5,LeftLowerLeg,2400,2.1454163715714167,3.9739227920814932
162.5,RightLowerLeg,2400,2.1586103799637573,5.257228211936457
172.5,Pelvis,2400,1.4425245845885883,2.6416889537954353
172.5,LeftForeArm,2400,0.7204407178555058,1.5424374815424764
172.5,RightForeArm,2400,0.33741690778831684,0.678085287229712
172.5,LeftLowerLeg,2400,2.3342902681498248,4.0945007463901275
172.5,RightLowerLeg,2400,2.3743774209236683,4.83119027665642
182.5,Pelvis,2400,1.522763967014757,2.686899919680038
182.5,LeftForeArm,2400,0.6267429373284409,1.1469350719295992
182.5,RightForeArm,2400,0.3160493790456137,0.6336346101441828
182.5,LeftLowerLeg,2400,2.369328847721289,4.234699135614739
182.5,RightLowerLeg,2400,2.4818324565713796,4.914198145123298
192.5,Pelvis,2400,1.6487164136953052,2.884503308352561
192.5,LeftForeArm,2400,0.5490318228734457,1.2132034038141002
192.5,RightForeArm,2400,0.7286569747600536,1.5769637014346152
192.5,LeftLowerLeg,2400,2.3963669081419563,4.002757510203018
192.5,RightLowerLeg,2400,2.427228862491018,4.978576269265377
202.5,Pelvis,2400,1.2642967846567068,2.3638395200255333
202.5,LeftForeArm,2400,0.7545517924729901,1.4027472495565425
202.5,RightForeArm,2400,1.013994662913192,2.4093055464743216
202.5,LeftLowerLeg,2400,1.975509978338382,3.881000424316418
202.5,RightLowerLeg,2400,2.4000762067347288,5.132889090933309
212.5,Pelvis,2400,1.7272203372314463,6.140642827045027
212.5,LeftForeArm,2400,0.8434410701176582,1.7101463945169662
212.5,RightForeArm,2400,0.5785885294210211,1.3654421064501234
212.5,LeftLowerLeg,2400,2.874827428723067,8.700683598179824
212.5,RightLowerLeg,2400,3.106064891514526,7.531401583218865
222.5,Pelvis,2400,3.0648522987741287,7.596873803678947
222.5,LeftForeArm,2400,0.8340941459676068,2.123872159935441
222.5,RightForeArm,2400,1.1078287329558176,3.731140717572905
222.5,LeftLowerLeg,2400,4.907699411113572,13.044120588360412
222.5,RightLowerLeg,2400,5.563320409165685,10.40548917082368
232.5,Pelvis,2400,1.3847544459971057,2.7074215561718944
232.5,LeftForeArm,2400,0.6597365489866072,1.3637129022918248
232.5,RightForeArm,2400,0.816284073350637,2.1844415605877834
232.5,LeftLowerLeg,2400,2.038479603859071,4.2193895690505245
232.5,RightLowerLeg,2400,2.112655027975271,4.904184825578539
242.5,Pelvis,2400,1.349454737389624,2.3739975514719696
242.5,LeftForeArm,2400,0.6526108641854336,1.3795447458702568
