frame,time_seconds,segment,root_centered_x_m,root_centered_y_m,native_z_m
108001,450.004,T8,0.00745391845703125,0.0076389312744140625,1.1674590110778809
108001,450.004,Neck,0.03084564208984375,-0.0071926116943359375,1.270009994506836
108001,450.004,Head,0.08031463623046875,-0.030862808227539062,1.3442540168762207
108001,450.004,RightShoulder,0.01747894287109375,-0.025659561157226562,1.2226890325546265
108001,450.004,RightUpperArm,-0.01769256591796875,-0.1697406768798828,1.2070579528808594
108001,450.004,RightForeArm,-0.07161712646484375,-0.2681751251220703,0.8970339894294739
108001,450.004,RightHand,0.1612091064453125,-0.14934349060058594,0.8325629830360413
108001,450.004,LeftShoulder,0.0229034423828125,0.025203704833984375,1.228806972503662
108001,450.004,LeftUpperArm,0.034698486328125,0.17369651794433594,1.2216869592666626
108001,450.004,LeftForeArm,-0.1020355224609375,0.3069744110107422,0.9528509974479675
108001,450.004,LeftHand,0.1670989990234375,0.3025341033935547,0.947733998298645
108001,450.004,RightUpperLeg,-0.01142120361328125,-0.10181236267089844,0.8268960118293762
108001,450.004,RightLowerLeg,0.42034149169921875,-0.17604637145996094,0.6230909824371338
108001,450.004,RightFoot,0.17572784423828125,-0.26535797119140625,0.19495899975299835
108001,450.004,RightToe,0.22104644775390625,-0.3682136535644531,0.021383000537753105
108001,450.004,LeftUpperLeg,0.010772705078125,0.10286903381347656,0.799310028553009
108001,450.004,LeftLowerLeg,0.43445587158203125,-0.023929595947265625,0.6046410202980042
108001,450.004,LeftFoot,0.18029022216796875,0.09426689147949219,0.1892630010843277
108001,450.004,LeftToe,0.16455841064453125,0.2063121795654297,0.021090999245643616
247907,1032.945,Pelvis,0.0,0.0,0.8384389877319336
247907,1032.945,L5,-0.04407501220703125,0.002384185791015625,0.94964599609375
247907,1032.945,L3,-0.0383148193359375,0.003490447998046875,1.034641981124878
247907,1032.945,T12,-0.03084564208984375,0.002758026123046875,1.1123039722442627
247907,1032.945,T8,-0.011993408203125,0.0011920928955078125,1.1879099607467651
247907,1032.945,Neck,0.0367279052734375,-0.0006542205810546875,1.2822829484939575
247907,1032.945,Head,0.111663818359375,0.016994476318359375,1.3332010507583618
247907,1032.945,RightShoulder,0.00933837890625,-0.0250091552734375,1.238468050956726
247907,1032.945,RightUpperArm,0.02228546142578125,-0.17340850830078125,1.2314640283584595
