second,native_frames,left_knee_deg_valid_count,left_knee_deg_min,left_knee_deg_median,left_knee_deg_max,right_knee_deg_valid_count,right_knee_deg_min,right_knee_deg_median,right_knee_deg_max,trunk_tilt_deg_valid_count,trunk_tilt_deg_min,trunk_tilt_deg_median,trunk_tilt_deg_max,pelvis_z_m_valid_count,pelvis_z_m_min,pelvis_z_m_median,pelvis_z_m_max
55,240,240,2.713392496109009,9.828659057617188,20.436750411987305,240,0.04845663905143738,0.39416080713272095,3.314225435256958,240,1.4061130285263062,1.9342129230499268,2.6871514320373535,240,1.0907779932022095,1.0960839986801147,1.0992660522460938
56,240,240,2.7890944480895996,8.35631275177002,17.60738182067871,240,2.31316876411438,7.645711898803711,21.94149398803711,240,1.2967897653579712,3.278181314468384,5.868387222290039,240,1.0856759548187256,1.090103030204773,1.0916630029678345
57,240,240,1.8187609910964966,11.360734939575195,40.30304718017578,240,0.674636721611023,2.4524004459381104,51.57422637939453,240,0.20935672521591187,4.239075660705566,4.832577705383301,240,1.0652090311050415,1.087799072265625,1.0933430194854736
58,240,240,8.46030044555664,18.099029541015625,32.16200637817383,240,0.18974561989307404,12.373246192932129,51.952186584472656,240,0.18345394730567932,8.566864013671875,19.245311737060547,240,1.0809849500656128,1.0931475162506104,1.1071410179138184
59,240,240,5.518568992614746,8.446742057800293,15.3369722366333,240,6.627795219421387,11.068124771118164,18.71354866027832,240,3.137125015258789,11.05274772644043,19.262794494628906,240,1.0900479555130005,1.0960984230041504,1.1091409921646118
60,240,240,3.757599353790283,7.813358306884766,9.63322925567627,240,0.20558421313762665,2.1307427883148193,20.676311492919922,240,3.1701500415802,6.146090507507324,11.675431251525879,240,1.08986496925354,1.0937914848327637,1.0991020202636719
61,240,240,7.7726874351501465,12.61262321472168,16.412437438964844,240,0.09891171008348465,2.3437652587890625,17.248695373535156,240,4.82937479019165,9.84533977508545,12.092463493347168,240,1.0819339752197266,1.0965614318847656,1.1008340120315552
62,240,240,5.542417049407959,7.219878196716309,14.015321731567383,240,2.3015475273132324,7.647653102874756,23.734012603759766,240,1.648651123046875,2.4192919731140137,4.768837928771973,240,1.085955023765564,1.0938010215759277,1.0943470001220703
63,240,240,6.606991767883301,7.4550886154174805,7.914577007293701,240,1.6916539669036865,2.17339825630188,2.9065656661987305,240,3.140866994857788,3.681344509124756,4.368880748748779,240,1.0940790176391602,1.0962430238723755,1.0974830389022827
64,240,240,5.34430456161499,6.420677185058594,6.9538679122924805,240,1.887200117111206,2.2730960845947266,2.7297909259796143,240,3.8057031631469727,4.459573745727539,5.43404483795166,240,1.091912031173706,1.0930299758911133,1.0956599712371826
65,240,240,4.835738658905029,5.906707763671875,6.825788497924805,240,0.07401873916387558,0.45456451177597046,1.8799270391464233,240,5.4652934074401855,7.582063674926758,8.819578170776367,240,1.093526005744934,1.0968279838562012,1.0981099605560303
66,240,240,4.778973579406738,5.890807151794434,6.962635040283203,240,0.32805347442626953,0.6039167642593384,6.580909729003906,240,1.902897834777832,4.606278896331787,8.765487670898438,240,1.0929579734802246,1.0949410200119019,1.0980099439620972
67,240,240,6.312859535217285,19.775394439697266,42.394691467285156,240,6.838133335113525,11.871191024780273,15.903261184692383,240,2.1140553951263428,3.557286262512207,6.266631603240967,240,1.0857820510864258,1.0942659378051758,1.097174048423767
68,240,240,2.8665547370910645,6.061018943786621,23.990068435668945,240,5.698700904846191,15.00124740600586,17.170576095581055,240,2.9236221313476562,4.835514545440674,6.0310444831848145,240,1.0937169790267944,1.096407413482666,1.1003730297088623
69,240,240,2.416865587234497,7.808167457580566,24.134546279907227,240,1.7053649425506592,11.31451416015625,20.80738639831543,240,3.4907073974609375,4.621304512023926,6.147650241851807,240,1.08309805393219,1.0972330570220947,1.0988620519638062
70,240,240,0.11364090442657471,13.964176177978516,43.102569580078125,240,4.452938079833984,10.000703811645508,39.771602630615234,240,3.457003355026245,5.7827959060668945,8.111861228942871,240,1.0724060535430908,1.0859990119934082,1.0964150428771973
71,240,240,2.413461685180664,12.972749710083008,23.280757904052734,240,0.43069303035736084,16.702177047729492,44.87934494018555,240,2.4330081939697266,3.260385513305664,4.167203426361084,240,1.0888639688491821,1.0972836017608643,1.1016370058059692
72,240,240,3.544034481048584,4.492588996887207,19.391815185546875,240,0.0,0.5012395977973938,0.8501882553100586,240,3.904348134994507,4.648904323577881,5.1619415283203125,240,1.0986969470977783,1.0992670059204102,1.1013840436935425
73,240,240,2.7808709144592285,4.992018222808838,26.572113037109375,240,0.6892703771591187,2.6105504035949707,44.78998565673828,240,3.3979384899139404,4.418429374694824,5.640625953674316,240,1.0825109481811523,1.0978894233703613,1.1018749475479126
74,240,240,4.906082630157471,21.965288162231445,56.29315948486328,240,0.11014342308044434,2.285944700241089,43.02957534790039,240,3.3054118156433105,5.2708539962768555,6.422510147094727,240,1.0667330026626587,1.0873169898986816,1.0996229648590088
75,240,240,1.8171463012695312,4.797462463378906,20.6369571685791,240,2.5574193000793457,20.671680450439453,51.862239837646484,240,3.679349660873413,5.277447700500488,7.744405269622803,240,1.0727510452270508,1.089937448501587,1.0986549854278564
76,240,240,10.777456283569336,15.002626419067383,16.270048141479492,240,0.2422833889722824,3.525588274002075,6.509756088256836,240,7.125739574432373,24.263416290283203,28.703998565673828,240,1.0940639972686768,1.101835012435913,1.1080750226974487
77,240,240,2.046409845352173,10.498075485229492,16.665807723999023,240,0.11534988135099411,14.144464492797852,25.890037536621094,240,4.80134391784668,8.809865951538086,21.195737838745117,240,1.089764952659607,1.0982465744018555,1.1065189838409424
78,240,240,0.09691328555345535,4.81220817565918,33.687705993652344,240,6.561273574829102,10.207653045654297,54.939430236816406,240,3.5788347721099854,7.872114181518555,8.65575885772705,240,1.0595380067825317,1.0879690647125244,1.0954790115356445
79,240,240,0.6464956402778625,18.871231079101562,49.91573715209961,240,0.13988231122493744,6.999447822570801,54.52632522583008,240,2.9976110458374023,4.112087249755859,4.9611992835998535,240,1.080199956893921,1.0906670093536377,1.092952013015747
80,240,240,10.325462341308594,16.352886199951172,49.76696014404297,240,1.9753620624542236,5.146668434143066,17.67430877685547,240,3.73260760307312,6.850966453552246,10.137234687805176,240,1.0841799974441528,1.0888254642486572,1.0909539461135864
81,240,240,1.5466160774230957,16.41146469116211,58.32156753540039,240,1.5336556434631348,9.688982009887695,25.033193588256836,240,4.644815444946289,10.171364784240723,12.564935684204102,240,1.0560009479522705,1.0773389339447021,1.093150019645691
82,240,240,0.09487278014421463,9.395488739013672,63.34157180786133,240,0.02797645330429077,14.407670974731445,56.448421478271484,240,2.7857937812805176,3.7496442794799805,5.2194695472717285,240,1.0584139823913574,1.0752700567245483,1.083359956741333
83,240,240,0.20558421313762665,4.308319091796875,56.803775787353516,240,0.09278740733861923,13.218589782714844,52.28554153442383,240,5.287167549133301,7.219161033630371,9.507415771484375,240,1.050590991973877,1.070734977722168,1.0908839702606201
84,240,240,0.4334103763103485,5.476016521453857,61.13801574707031,240,0.48254457116127014,11.606968879699707,51.943477630615234,240,3.3722004890441895,6.222707271575928,7.986498832702637,240,1.0636579990386963,1.0840139389038086,1.101017951965332
85,240,240,1.0345755815505981,6.205140113830566,62.12118911743164,240,0.7132670283317566,12.724017143249512,52.614349365234375,240,3.482789993286133,5.648508071899414,8.399826049804688,240,1.0556180477142334,1.0816254615783691,1.0992599725723267
86,240,240,0.1327039897441864,5.589010238647461,59.990299224853516,240,0.8086665272712708,11.684277534484863,51.42116165161133,240,4.89700984954834,6.325569152832031,9.547855377197266,240,1.0610929727554321,1.0825275182724,1.1037620306015015
87,240,240,0.05233915150165558,8.909393310546875,62.021270751953125,240,0.5750529766082764,12.104809761047363,52.08502960205078,240,1.7781726121902466,4.885611057281494,9.58172607421875,240,1.0555280447006226,1.0780014991760254,1.0974249839782715
88,240,240,0.406382292509079,8.58499813079834,62.0418701171875,240,0.23069989681243896,12.438102722167969,53.223392486572266,240,2.4247889518737793,5.125301361083984,7.081886291503906,240,1.0522910356521606,1.074397087097168,1.099100947380066
89,240,240,0.10279206931591034,7.723067283630371,61.874176025390625,240,0.43114712834358215,11.133798599243164,52.35068130493164,240,1.800484538078308,4.083220481872559,6.000314712524414,240,1.0513800382614136,1.073709487915039,1.0985180139541626
90,240,240,0.8163729906082153,9.12763500213623,62.51081848144531,240,0.4837595522403717,10.31368637084961,52.36893081665039,240,2.4459261894226074,4.910593032836914,6.997566223144531,240,1.051151990890503,1.07315993309021,1.098628044128418
91,240,240,0.09065407514572144,9.01738166809082,62.54108810424805,240,0.7206360697746277,10.628561019897461,54.079078674316406,240,1.737086534500122,4.29100227355957,7.980868339538574,240,1.053792953491211,1.081043004989624,1.0982719659805298
92,240,240,0.35827401280403137,9.960589408874512,62.32966613769531,240,0.49574556946754456,12.720930099487305,54.0472412109375,240,1.0061933994293213,3.808621406555176,6.531468391418457,240,1.0557880401611328,1.0824809074401855,1.0991590023040771
93,240,240,0.3748224973678589,5.339478492736816,64.21709442138672,240,0.284618616104126,12.659387588500977,52.61922836303711,240,2.7593889236450195,4.642271041870117,7.276561260223389,240,1.0521509647369385,1.0798125267028809,1.0976070165634155
94,240,240,0.18871158361434937,4.633347511291504,61.85375213623047,240,0.4015384614467621,14.196706771850586,52.97637176513672,240,2.4046871662139893,4.298919200897217,6.608891487121582,240,1.0503430366516113,1.0745179653167725,1.0946929454803467
