source,subject_id,region,setting,start_frame,end_frame_exclusive,duration_seconds,annotation_status,status,mean_error_deg,valid_frames,total_frames,entry_error_deg,late_error_deg,retention_delta_deg,correct_entry,sustained_failure,failure_all,retention_failure_given_correct_entry,false_standing
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,raw_15,5619,5845,3.7666666666666666,candidate_not_reviewed,evaluated,5.044840414314059,226,226,5.964115414026031,4.103870648486926,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,1232,1458,3.7666666666666666,candidate_not_reviewed,evaluated,13.934408433919659,226,226,14.297279831072062,13.688980018374764,,False,False,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,1803,2097,4.9,candidate_not_reviewed,evaluated,17.28530113808051,294,294,17.552329940792028,17.102129496111782,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,2467,2693,3.7666666666666666,candidate_not_reviewed,evaluated,19.627148126344338,226,226,15.916569860889076,20.847072306110547,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,2897,3019,2.033333333333333,candidate_not_reviewed,evaluated,22.35558157128162,122,122,21.663340516730255,22.99086589463243,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,3106,3332,3.7666666666666666,candidate_not_reviewed,evaluated,31.58040862291647,226,226,34.42503348195025,32.54074627377142,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,3750,3971,3.683333333333333,candidate_not_reviewed,evaluated,16.78459847771241,221,221,17.387393374292838,16.444127007791327,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,4996,5237,4.016666666666667,candidate_not_reviewed,evaluated,36.57069316981914,241,241,39.058862231472716,35.90554026925426,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,raw_15,5619,5845,3.7666666666666666,candidate_not_reviewed,evaluated,34.71828035495624,226,226,35.79353461836395,30.87411438592121,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,1232,1458,3.7666666666666666,candidate_not_reviewed,evaluated,5.049577799695177,226,226,5.121679325097228,4.890422618601375,,True,False,False,False,not_inferred_from_angle_error
