start_seconds,frames,lower_mean_error_deg,delay_aligned_lower_error_deg,predicted_knee_bend_mean_deg,reference_knee_bend_mean_deg,left_hip_error_deg,right_hip_error_deg,left_knee_error_deg,right_knee_error_deg
150.0,600,20.44183844643732,12.087080730539196,18.479498234513482,19.8213138727898,19.941118434797108,15.90733015536413,22.767960685172817,23.15094451041522
160.0,600,19.217687249368662,12.133203084316495,17.491847180779533,20.59246931230275,18.644901431101836,15.30048573163286,20.18098944732618,22.744372387413776
170.0,600,19.9712768609374,12.652063133968742,16.402897529596114,19.265556290171123,19.60783994467894,16.78042521800605,21.19619618792605,22.300646093138578
180.0,600,20.792544761966074,12.43175242320551,17.905545401379943,20.435012308898873,19.356141600824323,17.792864105431722,22.239583544215964,23.7815897973923
190.0,600,20.117674637617693,13.12678323375282,14.96520427083916,20.20650241298415,20.423950020172295,17.062551470403665,20.16446095131112,22.819736108583694
200.0,600,18.4614883379036,13.382046600630074,15.701197807777616,20.594342093554694,19.257002364799913,16.956392890295263,19.192934926724806,18.43962316979442
210.0,600,18.66643193066047,13.286270895663906,17.0089886818226,19.77087972832131,19.24288333577013,16.193649281555857,19.61520868030686,19.61398642500902
220.0,600,22.8022834111802,16.968774274572485,21.54907093173382,26.94289799614104,21.995445761878678,18.81659565115891,24.723278873310143,25.673813358373042
230.0,600,20.799446036323964,15.586865916573194,18.946010461421086,21.968390736434216,21.385558123750403,18.37501405280644,21.77922997412703,21.657981994611976
240.0,600,20.451493816828357,14.341869809718094,19.337429632643932,19.837612218299636,21.301564695403986,18.58943540654349,22.18008702079426,19.734888144571705
250.0,600,24.127032865331092,17.10609499241599,20.823289321193748,27.544570385388663,23.165037424147105,19.638279280735333,25.990734765527353,27.71407999091459
260.0,600,19.72498796392445,13.960197553306285,19.701819782883728,20.36062865533887,20.732557375836144,17.602943056296088,21.00703450419827,19.5574169193673
270.0,600,21.644386113732242,17.189466567909232,18.171453926496465,25.082974796275046,25.576756795462643,17.181328215508188,24.263533668136482,19.555925775821663
280.0,600,27.54364801076594,26.112255746131794,9.997626830819504,28.535325931410693,30.382616051689485,24.32446283748775,29.82983947023609,25.637673683650434
290.0,600,56.28530275930583,56.21680268321521,28.57371884997758,82.28431920360438,66.73687029243952,45.99960837339084,67.14332055076899,45.26141182062398
300.0,600,62.074080533464006,62.05103295808162,21.119709803237313,81.50952450008278,73.50212579717945,48.42394402811072,72.28948620336871,54.08076610519712
310.0,600,60.750369080899766,60.73292465918288,23.376755550683882,81.70940686653213,72.94230222843188,47.839928812575174,70.30354402011746,51.91570126247455
320.0,600,73.00475923368387,72.89485608559056,18.494779292032717,87.28014151215946,80.44712074323235,67.83687299733356,79.95943359305404,63.77560960111554
330.0,600,60.53309342969708,60.49247798553304,50.9988539408941,100.83118637898158,82.79938091404587,49.09358231052289,78.32745449372288,31.911956000496684
340.0,600,54.58424029549774,54.643035110586695,53.38773952453689,101.21864700673216,80.03935000900606,33.85364065130734,75.91698340930964,28.52698711236797
350.0,600,50.212835164794654,50.231831330518574,49.61862872471877,94.45870964058118,64.13497206960164,39.52023413905617,60.996653557766656,36.199480892754124
360.0,600,52.48128992011475,52.56215556599372,44.952993150409775,93.29313881988173,61.92835709287935,44.963230153895296,64.91009344327719,38.12347899040714
370.0,600,48.98977314791954,48.98954653366274,46.1029277077234,92.8691958088215,57.90660516992238,38.53747385514,65.56089591197104,33.95411765464477
380.0,600,51.22280140447597,51.10096751282429,42.323545532880104,92.75208027272883,60.31196300594068,39.239779329126975,66.99279407059771,38.34666921223854
390.0,600,50.01272785169046,50.128889212250556,43.205054224585965,92.47560439779413,58.79937180410566,38.27896160309001,65.59825638196256,37.37432161760361
400.0,600,50.708318238265434,50.72206180891386,44.326540316743156,90.62177289536943,61.652229091000116,41.381164944272996,63.138555665423446,36.66132325236517
410.0,600,59.485536136531735,59.45699371246356,26.67151391230163,81.84217470152637,76.61610008432525,45.33555729032132,75.05460090013834,40.93588627134206
420.0,600,67.25727016469692,67.34217270670737,13.155226507715318,79.44398529618034,81.32047664799279,52.73994834130986,81.80105721852073,53.167598450964306
430.0,600,64.55064869951842,64.46863745329308,17.652118177136277,80.05539615999005,80.0195580024197,50.49230585321958,77.65393473125832,50.03679621117608
440.0,600,59.74004291122915,59.6557472111163,29.93327748169584,86.28504831197229,73.81176129988233,45.254001656573266,70.89553632167838,48.99887236678262
450.0,600,39.64751017870221,39.674765001896155,62.93472623674885,95.01971159881138,59.24907075749856,20.713326660353697,53.149520889996,25.478122406960594
460.0,600,35.18959527172673,35.17527480826051,66.49903319933695,93.88812561979597,55.47817755551526,14.411074692799009,49.46778912904906,21.401339709543613
470.0,600,41.25211894671123,41.21995964617074,61.02665208598919,94.1016855922817,60.899041415276,27.96863249284045,50.820416757892644,25.320385120835816
480.0,600,42.900638062690874,42.92033675205648,60.51408992268126,94.23936721972046,61.74243958736392,31.905507168509388,51.05911284881869,26.895492646071506
490.0,600,42.297830363190464,42.30173766688241,57.73399757000768,93.64810966770568,60.35986577778972,26.270006604286362,55.7243009190273,26.8371481516585
500.0,600,35.540327201665825,35.55210468405312,63.944730637977024,93.15191015918725,54.33664624387018,14.736994422668461,54.74741597466682,18.340252165457834
510.0,600,35.10960140140588,35.11188324801149,64.27902988373901,93.20973908758279,53.40992157166615,15.15066573497835,53.28218084498695,18.59563745399208
520.0,600,37.83554751634017,37.84545174380596,60.85113295054768,93.29535938710009,55.68367869946444,19.09297028392613,53.68002499887168,22.88551608309846
530.0,600,39.056183662722646,39.06005090421387,59.488653946663774,93.02801124380294,56.630234388430765,20.112863264265766,55.95081903943819,23.53081795875586
540.0,600,37.583965157602286,37.59098477015347,60.451851567934014,93.03031148846912,54.21719339670202,20.6324692321457,52.944476875680934,22.5417211258805
550.0,600,36.835395129181535,36.835750376764324,60.82337175055269,92.97430768143407,53.28500895305076,19.09686529818753,52.870938005841865,22.08876825964599
560.0,600,36.553963892893904,36.55491168989653,60.94672735318847,92.9711600759505,52.881272854161615,18.66272199556138,52.92489554321841,21.746965178634188
570.0,600,36.664929239168586,36.62488775337067,61.31901925272351,93.75508392697233,52.8450478510785,18.751291777732924,52.90221929853733,22.1611580293256
580.0,600,34.783581043093946,34.820677537687125,69.58276980852457,97.89601865861962,49.05450820685566,15.321283108064963,50.00104575992707,24.757487097528113
590.0,600,34.39033628822906,34.38615537675347,71.88533484535404,98.04865287095453,48.757157157777655,15.7252609057182,48.99143235512311,24.087494734297252
600.0,600,33.62144950435298,33.622730492658604,71.83481892370432,97.71815237218199,46.552101165851504,15.906728602527485,48.450008281441484,23.576959967591453
610.0,600,32.65233961126728,32.65813678639675,70.75237783486973,97.6215645596932,44.582662151789776,14.660329881099427,48.542162901576454,22.82420351060345
